city_id,city_name,city_code,gender,year,suicide_rate
1,Taipei City,A,Total,2020,9.14
1,Taipei City,A,Total,2021,8.62
1,Taipei City,A,Total,2022,10.61
1,Taipei City,A,Total,2023,10.26
1,Taipei City,A,Total,2024,9.81
2,New Taipei City,F,Total,2020,12.27
2,New Taipei City,F,Total,2021,11.33
2,New Taipei City,F,Total,2022,11.95
2,New Taipei City,F,Total,2023,13.39
2,New Taipei City,F,Total,2024,13.37
3,Taoyuan City,H,Total,2020,12.14
3,Taoyuan City,H,Total,2021,12.09
3,Taoyuan City,H,Total,2022,11.37
3,Taoyuan City,H,Total,2023,12.32
3,Taoyuan City,H,Total,2024,14.06
4,Taichung City,B,Total,2020,12.3
4,Taichung City,B,Total,2021,11.8
4,Taichung City,B,Total,2022,11.86
4,Taichung City,B,Total,2023,12.27
4,Taichung City,B,Total,2024,13.21
5,Tainan City,D,Total,2020,11.14
5,Tainan City,D,Total,2021,10.13
5,Tainan City,D,Total,2022,12.08
5,Tainan City,D,Total,2023,12.07
5,Tainan City,D,Total,2024,11.99
6,Kaohsiung City,E,Total,2020,12.25
6,Kaohsiung City,E,Total,2021,12.98
6,Kaohsiung City,E,Total,2022,12.37
6,Kaohsiung City,E,Total,2023,14.33
6,Kaohsiung City,E,Total,2024,14.24
7,Keelung City,C,Total,2020,17.43
7,Keelung City,C,Total,2021,15.54
7,Keelung City,C,Total,2022,17.38
7,Keelung City,C,Total,2023,15.94
7,Keelung City,C,Total,2024,18.01
8,Hsinchu City,O,Total,2020,9.07
8,Hsinchu City,O,Total,2021,10.85
8,Hsinchu City,O,Total,2022,11.61
8,Hsinchu City,O,Total,2023,11.7
8,Hsinchu City,O,Total,2024,14.05
9,Hsinchu County,J,Total,2020,10.83
9,Hsinchu County,J,Total,2021,15.77
9,Hsinchu County,J,Total,2022,10.55
9,Hsinchu County,J,Total,2023,12.73
9,Hsinchu County,J,Total,2024,14.21
10,Miaoli County,K,Total,2020,14.84
10,Miaoli County,K,Total,2021,12.51
10,Miaoli County,K,Total,2022,17.74
10,Miaoli County,K,Total,2023,13.26
10,Miaoli County,K,Total,2024,14.56
11,Changhua County,N,Total,2020,10.82
11,Changhua County,N,Total,2021,9.84
11,Changhua County,N,Total,2022,12.17
11,Changhua County,N,Total,2023,12.5
11,Changhua County,N,Total,2024,12.58
12,Nantou County,M,Total,2020,13.2
12,Nantou County,M,Total,2021,12.55
12,Nantou County,M,Total,2022,13.22
12,Nantou County,M,Total,2023,14.03
12,Nantou County,M,Total,2024,17.73
13,Yunlin County,P,Total,2020,11.11
13,Yunlin County,P,Total,2021,13.95
