year,age_group,suicide_death_count,crude_suicide_rate
2020,Under 15,21,0.7
2020,15-24,239,8.8
2020,25-44,"1,068",15
2020,45-64,"1,343",19
2020,65 and Above,985,26.2
2021,Under 15,14,0.5
2021,15-24,247,9.6
2021,25-44,"1,019",14.5
2021,45-64,"1,240",17.5
2021,65 and Above,"1,065",27.6
2022,Under 15,19,0.7
2022,15-24,264,10.7
2022,25-44,"1,096",15.9
2022,45-64,"1,270",17.9
2022,65 and Above,"1,138",28.4
2023,Under 15,24,0.9
2023,15-24,260,10.9
2023,25-44,"1,139",16.7
2023,45-64,"1,345",18.8
2023,65 and Above,"1,130",27
2024,Under 15,19,0.7
2024,15-24,274,11.9
2024,25-44,"1,244",18.5
2024,45-64,"1,405",19.5
2024,65 and Above,"1,120",25.5
