city_id,city_name,city_code,year,spending
1,Taipei City,A,2024,13545.56
1,Taipei City,A,2023,12820.65
1,Taipei City,A,2022,11700
1,Taipei City,A,2021,10560
1,Taipei City,A,2020,9870
2,New Taipei City,F,2024,8852.08
2,New Taipei City,F,2023,8194
2,New Taipei City,F,2022,7400
2,New Taipei City,F,2021,6700
2,New Taipei City,F,2020,5930
3,Taoyuan City,H,2024,9644.83
3,Taoyuan City,H,2023,9438.63
3,Taoyuan City,H,2022,8800
3,Taoyuan City,H,2021,8590
3,Taoyuan City,H,2020,7140
4,Taichung City,B,2024,11210.51
4,Taichung City,B,2023,10180.91
4,Taichung City,B,2022,9100
4,Taichung City,B,2021,8080
4,Taichung City,B,2020,7110
5,Tainan City,D,2024,10508.05
5,Tainan City,D,2023,9213.31
5,Tainan City,D,2022,7900
5,Tainan City,D,2021,8180
5,Tainan City,D,2020,6050
6,Kaohsiung City,E,2024,11483.23
6,Kaohsiung City,E,2023,10276.04
6,Kaohsiung City,E,2022,12100
6,Kaohsiung City,E,2021,10730
6,Kaohsiung City,E,2020,9320
7,Keelung City,C,2024,9841.88
7,Keelung City,C,2023,8673.19
7,Keelung City,C,2022,7700
7,Keelung City,C,2021,7320
7,Keelung City,C,2020,6880
8,Hsinchu City,O,2024,9563.19
8,Hsinchu City,O,2023,9169.31
8,Hsinchu City,O,2022,8300
8,Hsinchu City,O,2021,6810
8,Hsinchu City,O,2020,5640
9,Hsinchu County,J,2024,9074.25
9,Hsinchu County,J,2023,8362.02
9,Hsinchu County,J,2022,7100
9,Hsinchu County,J,2021,6920
9,Hsinchu County,J,2020,6060
10,Miaoli County,K,2024,8995.7
10,Miaoli County,K,2023,7907.95
10,Miaoli County,K,2022,6700
10,Miaoli County,K,2021,6000
10,Miaoli County,K,2020,5470
11,Changhua County,N,2024,9168.64
11,Changhua County,N,2023,8391.56
11,Changhua County,N,2022,7100
11,Changhua County,N,2021,6340
11,Changhua County,N,2020,6270
12,Nantou County,M,2024,10722.25
12,Nantou County,M,2023,9883.57
12,Nantou County,M,2022,8600
12,Nantou County,M,2021,8360
12,Nantou County,M,2020,7520
13,Yunlin County,P,2024,11152.61
13,Yunlin County,P,2023,10181.08
13,Yunlin County,P,2022,9400
13,Yunlin County,P,2021,8960
13,Yunlin County,P,2020,8240
14,Chiayi City,I,2024,10804.74
14,Chiayi City,I,2023,9110.26
14,Chiayi City,I,2022,8000
14,Chiayi City,I,2021,7190
14,Chiayi City,I,2020,6410
15,Chiayi County,Q,2024,13229.1
15,Chiayi County,Q,2023,11516.74
15,Chiayi County,Q,2022,10100
15,Chiayi County,Q,2021,9710
15,Chiayi County,Q,2020,8430
16,Pingtung County,T,2024,12914.29
16,Pingtung County,T,2023,10166.88
16,Pingtung County,T,2022,9200
16,Pingtung County,T,2021,8810
16,Pingtung County,T,2020,7380
17,Yilan County,G,2024,15613.67
17,Yilan County,G,2023,13644.29
17,Yilan County,G,2022,12100
17,Yilan County,G,2021,11260
17,Yilan County,G,2020,8630
18,Hualien County,U,2024,18089.42
18,Hualien County,U,2023,15055.67
18,Hualien County,U,2022,13600
18,Hualien County,U,2021,12600
18,Hualien County,U,2020,11080
19,Taitung County,V,2024,20944.25
19,Taitung County,V,2023,17948.73
19,Taitung County,V,2022,18100
19,Taitung County,V,2021,16620
19,Taitung County,V,2020,15560
20,Penghu County,X,2024,10816.05
20,Penghu County,X,2023,10871.97
20,Penghu County,X,2022,9600
20,Penghu County,X,2021,10190
20,Penghu County,X,2020,10500
21,Kinmen County,W,2024,29145.77
21,Kinmen County,W,2023,29953.56
21,Kinmen County,W,2022,25800
21,Kinmen County,W,2021,23980
21,Kinmen County,W,2020,26260
22,Lienchiang County,Z,2024,13545.56
22,Lienchiang County,Z,2023,12820.65
22,Lienchiang County,Z,2022,11700
22,Lienchiang County,Z,2021,10560
22,Lienchiang County,Z,2020,9870
